ecosystem_type,natural,mod_deg,sev_deg,vsev_deg,Total_Area_under_mpa_km2,eco_extent_km2,percent_protected,natural_in_mpa,natural_wd,mod_deg_wd,sev_deg_wd,v_sev_deg_wd,total_perc,perc_pro_cnd,pro_lvl_2019_20,pro_lvl_2019_30,pro_lvl_2025_30,difference_2019_30_20,difference_2019_2025_30
Southern Benguela Sandy Outer Shelf,0.775151518,0.16770201,0,0.057146472,725.5442718,36057.07258,2.012210698,1.559768177,0.775151518,0.083851005,0,0.005714647,0.86471717,1.739993141,Poorly Protected,Poorly Protected,Poorly Protected,same,same
Southern Benguela Sandy Shelf Edge,0.991897307,0.008102693,0,0,214.2584092,7397.870668,2.896217288,2.872750129,0.991897307,0.004051346,0,0,0.995948654,2.884483708,Poorly Protected,Poorly Protected,Poorly Protected,same,same
Southern Benguela Shelf Edge Mosaic,1,0,0,0,0.259291305,2181.792512,0.011884325,0.011884325,1,0,0,0,1,0.011884325,Not Protected,Not Protected,Not Protected,same,same
Southern KZN Inner Shelf Mosaic,0,0.000188422,0.303170872,0.696640706,100.2990359,258.8681577,38.74521948,0,0,9.42E-05,0.090951262,0.069664071,0.160709543,6.22672652,Moderately Protected,Moderately Protected,Poorly Protected,same,decrease
Southern KZN Mid Shelf Mosaic,0,0.829011773,0.029905398,0.141082829,481.0343588,989.6303261,48.60747959,0,0,0.414505886,0.00897162,0.014108283,0.437585789,21.2699423,Moderately Protected,Moderately Protected,Moderately Protected,same,same
Southern KZN Shelf Edge Mosaic,0.571412981,0.42851736,0,6.97E-05,387.6017061,669.5627224,57.88878221,33.07840161,0.571412981,0.21425868,0,6.97E-06,0.785678627,45.48197893,Well Protected,Well Protected,Well Protected,same,same
Southwest Indian Lower Slope,0.876808545,0.123191455,0,0,808.4114592,197988.1264,0.408313101,0.358012416,0.876808545,0.061595728,0,0,0.938404272,0.383162759,Poorly Protected,Poorly Protected,Poorly Protected,same,same
Southwest Indian Mid Slope,0.956511318,0.043488682,0,0,7356.288501,78270.71677,9.398519401,8.989790184,0.956511318,0.021744341,0,0,0.978255659,9.194154792,Poorly Protected,Poorly Protected,Poorly Protected,same,same
Southwest Indian Seamount,1,0,0,0,1158.115886,2072.412591,55.88249612,55.88249612,1,0,0,0,1,55.88249612,Well Protected,Well Protected,Well Protected,same,same
Southwest Indian Slope Seamount,0,0,0,0,0,1614.360866,0,0,0,0,0,0,0,0,Not Protected,Not Protected,Not Protected,same,same
Southwest Indian Upper Slope,0.927634382,0.064573405,0.001802918,0.005989296,4537.605485,17527.17271,25.88897571,24.01550398,0.927634382,0.032286702,0.000540875,0.00059893,0.961060889,24.88088201,Well Protected,Moderately Protected,Moderately Protected,decrease,same
St Helena Bay,0.008781559,0.991218441,0,0,0.82218116,980.8231242,0.08382563,0.00073612,0.008781559,0.495609221,0,0,0.504390779,0.042280875,Not Protected,Not Protected,Not Protected,same,same
St Lucia Mid Shelf Mosaic,1,0,0,0,4.760192678,4.760192678,100,100,1,0,0,0,1,100,Well Protected,Well Protected,Well Protected,same,same
St Lucia Sandy Inner Shelf,0.947199288,0.052800712,0,0,91.01379789,119.9561759,75.87254028,71.86641614,0.947199288,0.026400356,0,0,0.973599644,73.86947821,Well Protected,Well Protected,Well Protected,same,same
St Lucia Sandy Mid Shelf,0.319565546,0.231360464,0.427680595,0.021393396,297.8935741,646.7982935,46.05664193,14.71811592,0.319565546,0.115680232,0.128304178,0.00213934,0.565689296,26.05374934,Moderately Protected,Moderately Protected,Moderately Protected,same,same
Trafalgar Reef Complex,0,0,0.237532014,0.762467986,19.32697299,58.7052053,32.92207717,0,0,0,0.071259604,0.076246799,0.147506403,4.856217175,Moderately Protected,Moderately Protected,Poorly Protected,same,decrease
Transkei Basin Abyss,0,0,0,0,0,210710.3974,0,0,0,0,0,0,0,0,Not Protected,Not Protected,Not Protected,same,same
Western Agulhas Bay,0.314425497,0.508703513,0.162300138,0.014570851,25.39589906,819.7335941,3.098067377,0.974111375,0.314425497,0.254351757,0.048690041,0.001457085,0.61892438,1.917469432,Poorly Protected,Poorly Protected,Poorly Protected,same,same
Western Agulhas Outer Shelf Mosaic,0,0,0,0,0,2786.453861,0,0,0,0,0,0,0,0,Not Protected,Not Protected,Not Protected,same,same
Wild Coast Inner Shelf Mosaic,0.000939813,0.999060187,0,0,116.8227294,253.0344568,46.16870401,0.043389968,0.000939813,0.499530093,0,0,0.500469907,23.10604699,Moderately Protected,Moderately Protected,Moderately Protected,same,same
Wild Coast Mid Shelf Mosaic,0.679352775,0.320647225,0,0,920.2214819,2385.889027,38.56933292,26.20218334,0.679352775,0.160323613,0,0,0.839676387,32.38575813,Well Protected,Moderately Protected,Moderately Protected,decrease,same
Wild Coast Shelf Edge Mosaic,0.928740007,0.071259993,0,0,334.7850794,1435.235863,23.32613671,21.66391637,0.928740007,0.035629996,0,0,0.964370004,22.49502654,Well Protected,Moderately Protected,Moderately Protected,decrease,same
uThukela Canyon,0,0,0,0,0,417.8057348,0,0,0,0,0,0,0,0,Not Protected,Not Protected,Not Protected,same,same
uThukela Mid Shelf Mosaic,0,0.126586926,0.44660709,0.426805984,723.082773,789.3639162,91.60322104,0,0,0.063293463,0.133982127,0.042680598,0.239956188,21.98075977,Moderately Protected,Moderately Protected,Moderately Protected,same,same
uThukela Mid Shelf Mud Coarse Sediment Mosaic,0,0.351243855,0.4140359,0.234720244,1348.698853,1348.698853,100,0,0,0.175621928,0.12421077,0.023472024,0.323304722,32.33047222,Moderately Protected,Moderately Protected,Moderately Protected,same,same
uThukela Outer Shelf Muddy Reef Mosaic,0,0.989839026,0.00114182,0.009019154,514.6950609,531.7502975,96.79262302,0,0,0.494919513,0.000342546,0.000901915,0.496163974,48.02501253,Moderately Protected,Moderately Protected,Moderately Protected,same,same
